テストケースID,テスト項目,パターン名,ログ種別,ログサイズ区分,期待判定,対象ログ開始行,対象ログ終了行,前提条件,確認手順,期待結果,判定,実施者,備考
1,正常系ログ（小（10行））,normal_small,normal,small,PASS,1,10,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様どおりに動作しており（受付済み→仕掛中→完了の順で遷移し、エラーや例外が出力されていない）、LLM が PASS と判定すること。,保留,,
2,正常系ログ（中（50行））,normal_medium,normal,medium,PASS,11,60,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様どおりに動作しており（受付済み→仕掛中→完了の順で遷移し、エラーや例外が出力されていない）、LLM が PASS と判定すること。,保留,,
3,正常系ログ（大（200行））,normal_large,normal,large,PASS,61,260,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様どおりに動作しており（受付済み→仕掛中→完了の順で遷移し、エラーや例外が出力されていない）、LLM が PASS と判定すること。,保留,,
4,異常系ログ（ステップ欠損）（小（10行））,missing_small,missing,small,FAIL,261,270,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（ステップ欠損（例: 仕掛中を経由せずに完了になる））ため、LLM が FAIL と判定すること。,保留,,
5,異常系ログ（ステップ欠損）（中（50行））,missing_medium,missing,medium,FAIL,271,320,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（ステップ欠損（例: 仕掛中を経由せずに完了になる））ため、LLM が FAIL と判定すること。,保留,,
6,異常系ログ（ステップ欠損）（大（200行））,missing_large,missing,large,FAIL,321,520,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（ステップ欠損（例: 仕掛中を経由せずに完了になる））ため、LLM が FAIL と判定すること。,保留,,
7,異常系ログ（順序逆転）（小（10行））,reorder_small,reorder,small,FAIL,521,530,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（ステータス順序の逆転（受付済みと仕掛中の順序入れ替わりなど））ため、LLM が FAIL と判定すること。,保留,,
8,異常系ログ（順序逆転）（中（50行））,reorder_medium,reorder,medium,FAIL,531,580,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（ステータス順序の逆転（受付済みと仕掛中の順序入れ替わりなど））ため、LLM が FAIL と判定すること。,保留,,
9,異常系ログ（順序逆転）（大（200行））,reorder_large,reorder,large,FAIL,581,780,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（ステータス順序の逆転（受付済みと仕掛中の順序入れ替わりなど））ため、LLM が FAIL と判定すること。,保留,,
10,異常系ログ（仕様外・ERROR混入）（小（10行））,extra_small,extra,small,FAIL,781,790,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（仕様外ステータスやERRORログの混入）ため、LLM が FAIL と判定すること。,保留,,
11,異常系ログ（仕様外・ERROR混入）（中（50行））,extra_medium,extra,medium,FAIL,791,840,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（仕様外ステータスやERRORログの混入）ため、LLM が FAIL と判定すること。,保留,,
12,異常系ログ（仕様外・ERROR混入）（大（200行））,extra_large,extra,large,FAIL,841,1040,システム仕様（system_spec）が適用されており、log/app.log の該当行範囲に対象テストケースのログが記録されていること。,1) log/app.log の当該テストケース範囲（start_line～end_line 行）を抽出する。 2) 仕様とともにLLMへ入力し、PASS/FAIL 判定を取得する。 3) LLMの判定結果と期待ラベル（expected_label）を比較する。,ログが仕様に違反している（仕様外ステータスやERRORログの混入）ため、LLM が FAIL と判定すること。,保留,,
